alignment	id_run	irods_path	is_paired_read	lane	library_id	library_type	manual_qc	name	npg_run_id	reference	run_uuid	sample_uuid	tag_index	target	total_reads	type
1	36774	/seq/illumina/runs/36/36774/lane2/plex373/36774_2#373.cram	1	2	25850978	pWGS-384	1	36774_2#373	36774_2#373		a2790269-130e-5d3f-81d0-f7638fce577b	f5e13a57-adb4-5361-bc23-a461468631a9	373	1	3226692	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex71/36773_2#71.cram	1	2	25858008	pWGS-384	1	36773_2#71	36773_2#71		eeb37c32-bef4-5dbd-9092-dacb0dde537e	5711092b-b701-534a-8ca9-914fe399f13b	71	1	2797326	cram
1	36983	/seq/illumina/runs/36/36983/lane2/plex271/36983_2#271.cram	1	2	25839755	pWGS-384	1	36983_2#271	36983_2#271		7862705d-d6b2-5fb8-8252-134ddda843c6	023eb3a9-8feb-50dc-9751-413211c897db	271	1	3949124	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex311/37017_2#311.cram	1	2	25838796	pWGS-384	1	37017_2#311	37017_2#311		eb447665-6e25-508d-8011-cf02723e3d02	ab16e039-603e-5b27-9ed0-8e7854afe74a	311	1	3384698	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex323/36773_2#323.cram	1	2	25857891	pWGS-384	1	36773_2#323	36773_2#323		4b1453d5-3192-5298-ba9a-2f7cddd0acd2	39cec2a3-be75-571c-ac41-f47ae0374c20	323	1	2351928	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex361/36812_1#361.cram	1	1	25940822	pWGS-384	1	36812_1#361	36812_1#361		374b900c-d5fd-56e8-a34c-66d2f871ca5b	979b2942-6d1d-5f93-85a5-8f3bd539852b	361	1	5252842	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex256/36985_2#256.cram	1	2	25813593	pWGS-384	1	36985_2#256	36985_2#256		dfc0874f-e1a7-5bb1-885d-699f0e9163ee	51c00944-1327-5332-9ec6-4024b37fe0c1	256	1	3045908	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex129/36773_2#129.cram	1	2	25857804	pWGS-384	1	36773_2#129	36773_2#129		75fee564-ae06-5658-89b4-a30774db0ed6	08004616-a786-50c0-b52a-90973a522730	129	1	2900354	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex278/36773_2#278.cram	1	2	25857992	pWGS-384	1	36773_2#278	36773_2#278		9a3ab043-0d41-5adc-b23b-079729232aab	8e9dcfd2-6a70-5bb1-b96e-fac1637ffd9c	278	1	3536986	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex359/37017_2#359.cram	1	2	25838799	pWGS-384	1	37017_2#359	37017_2#359		67797303-87f1-5617-843c-ecd28a8190e4	ce677b0a-3711-5327-9da3-b150a95e833a	359	1	2918242	cram
1	36983	/seq/illumina/runs/36/36983/lane1/plex61/36983_1#61.cram	1	1	25808889	pWGS-384	1	36983_1#61	36983_1#61		c4ec6816-aac0-5a6a-a5fd-90da4ea46e3c	31f3ea6a-a361-5bc5-ab7a-a99527e51295	61	1	1986544	cram
1	37017	/seq/illumina/runs/37/37017/lane1/plex222/37017_1#222.cram	1	1	25969233	pWGS-384	1	37017_1#222	37017_1#222		9946e6b0-42de-5461-8cda-8c20730e1e92	097f8cba-eca3-5347-89d1-08924208fd3f	222	1	3435676	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex280/36812_1#280.cram	1	1	25940762	pWGS-384	1	36812_1#280	36812_1#280		37cf6d56-990d-56d5-8536-c090f8c70b0e	771ac856-f7f5-5f73-b3d1-e9f883fa051e	280	1	2613102	cram
