Sample,Isolate,Cohort,Country,Region,Year,Description,Species
SEANFDS10659971,08B06571_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659979,08B06573_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659987,08B06575_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659995,08B06578_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660003,08B06602_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660011,08B06622_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660019,08B06642_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660027,08B06643_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659940,08B06649_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659948,08B06680_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659956,08B06695_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659964,08B06697_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660961,08B06743_Mcat,Maela,Thailand,Maela,2008,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659972,08B06752_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659980,08B06754_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659988,08B06756_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659996,08B06757_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660955,08B06773_Mcat,Maela,Thailand,Maela,2008,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660004,08B06794_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660012,08B06807_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660833,08B06811_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660020,08B06812_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660957,08B06831_Hflu,Maela,Thailand,Maela,2008,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660841,08B06860_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660029,08B06879_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660037,08B06885_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
