import_uuid	name	sample_accession_number	sample_common_name	sample_donor_id	sample_id	sample_supplier_name	sample_uuid	sequencescape_sample_id
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416774	ERS5381469	Haemophilus influenzae	HINTVAC9416774	5036102	11_1_A1_08B07562	8213797d-ec90-53f9-b634-4685e132612c	HINTVAC9416774
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414807	ERS5379042	Haemophilus influenzae	HINTVAC9414807	5034135	32_19_B7_09B08892	022da239-b0da-5cb4-ab68-207587489b7c	HINTVAC9414807
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416676	ERS5381339	Haemophilus influenzae	HINTVAC9416676	5036004	13_84_G12_08B09282	cd9a6b66-e447-53a5-8396-7e5fda3223c3	HINTVAC9416676
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415847	ERS5380263	Haemophilus influenzae	HINTVAC9415847	5035175	21_17_B5_09B02177	872b918d-8a9c-570b-a501-a636fd9888a5	HINTVAC9415847
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415722	ERS5380141	Haemophilus influenzae	HINTVAC9415722	5035050	22_49_E1_09B02873	6ee6b3b6-b63c-5f05-ac5f-f11b63e688d9	HINTVAC9415722
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415737	ERS5380158	Haemophilus influenzae	HINTVAC9415737	5035065	22_39_D3_09B02844	ec89b913-f5d4-542a-b25c-70514b399f93	HINTVAC9415737
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413961	ERS5378001	Haemophilus influenzae	HINTVAC9413961	5033289	41_45_D9_10B01155	858a2e2c-ef02-518d-ab0f-46d9a932b49c	HINTVAC9413961
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416712	ERS5381382	Haemophilus influenzae	HINTVAC9416712	5036040	12_29_C5_08B08355	33935d75-aac5-5ad3-b325-51777f4bea80	HINTVAC9416712
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415802	ERS5380243	Haemophilus influenzae	HINTVAC9415802	5035130	22_59_E11_09B02918	255ed99d-3987-56b7-940a-2cab70430b66	HINTVAC9415802
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414191	ERS5378249	Haemophilus influenzae	HINTVAC9414191	5033519	38_14_B2_09B12579	55243cdf-61bd-56ed-9e09-ff9f04f809af	HINTVAC9414191
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415854	ERS5380304	Haemophilus influenzae	HINTVAC9415854	5035182	21_6_A6_09B02148	2e1e86d3-9e32-52a0-b62c-b3c21885ec23	HINTVAC9415854
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415109	ERS5379384	Haemophilus influenzae	HINTVAC9415109	5034437	29_92_H8_09B07451	e532be68-e065-5106-84e8-d559f0f578ca	HINTVAC9415109
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416672	ERS5381334	Haemophilus influenzae	HINTVAC9416672	5036000	13_36_C12_08B09033	4e7f0409-05b2-5ca9-ac57-31ad293b5bdc	HINTVAC9416672
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413798	ERS5377783	Haemophilus influenzae	HINTVAC9413798	5033126	42_1_A1_10B01617	e92c227c-0479-5066-9217-45e0c2127dd2	HINTVAC9413798
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414533	ERS5378669	Haemophilus influenzae	HINTVAC9414533	5033861	35_92_H8_09B11079	f2beca2a-c326-5991-81d9-78f76873f482	HINTVAC9414533
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417539	ERS5382591	Haemophilus influenzae	HINTVAC9417539	5036867	4_72_F12_08B03678	b4c16981-7866-5537-9b03-3b01394fd761	HINTVAC9417539
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417847	ERS5383072	Haemophilus influenzae	HINTVAC9417847	5037175	1A_15_B3_08B00218	3328d60d-b637-59ea-bcf2-7266e6dd31ec	HINTVAC9417847
